baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65154.04317913811	2.9564448039628117	0.14508536583284135	20.377277797741847	2.6604561136683337e-92	6.0924445003004845e-90	ENSG00000160191
19987.93584868217	3.293167150185508	0.17269214131873542	19.06958316132844	4.518926178084346e-81	5.1741704739065755e-79	ENSG00000154734
9242.928015893756	2.7448745394663043	0.18020270100593017	15.232149818753134	2.163585064107827e-52	1.651536598935641e-50	ENSG00000183145
5646.147536057812	2.9472099374223997	0.20448526420681878	14.412823089499286	4.297775925279806e-47	2.460476717222689e-45	ENSG00000142168
11089.242502915033	3.1489231894789924	0.21905753792560717	14.374867988100823	7.44118095712688e-47	3.408060878364111e-45	ENSG00000276289
9477.729139021181	3.2386614826610325	0.24128594054317748	13.422503919499954	4.463724516854912e-41	1.7036548572662915e-39	ENSG00000154723
25622.211196588814	2.572495047433107	0.22128116114012	11.625458914706924	3.059448338130793e-31	1.0008766706170737e-29	ENSG00000180509
33678.74803539751	3.0194179563718695	0.2679563257245169	11.268321239320551	1.8812246994149237e-29	5.38500570207522e-28	ENSG00000156299
2370.5685036112354	1.6227495916152352	0.31972674446860977	5.075426499939088	3.8662778874886917e-7	9.837529291499004e-6	ENSG00000275993
9043.783276673006	2.5790697695562548	0.5672298448078313	4.546780803520667	5.447267767341342e-6	1.2474243187211674e-4	ENSG00000142178
291.0577460983249	-1.2944434370510896	0.32785733856577165	-3.9481911331120334	7.87439261209471e-5	0.0016393053710633532	ENSG00000222018
438.50669848417886	-1.212758745370437	0.3177359604087944	-3.8168759488542605	1.3515207789007417e-4	0.0025791521530689155	ENSG00000215455
1445.214205000284	-0.6303824146130993	0.206242271786241	-3.0565141139759007	0.0022392693793342254	0.03944559137442597	ENSG00000166351
659.9928903867979	1.002989021228991	0.34721390228978155	2.8886775979145716	0.0038686549781216705	0.06328014214213304	ENSG00000156284
3338.8647040159026	0.4577958384463651	0.17217631465996494	2.658878135186462	0.007840131584942577	0.11969267553012335	ENSG00000157557
7386.763115061636	0.40309825955819867	0.16065970049181794	2.509019115087468	0.01210669328094612	0.17327704758354134	ENSG00000160183
4443.359309863415	0.3750326004975526	0.1687888525267915	2.2219038454451514	0.02628980448341663	0.3370159545380974	ENSG00000154721
6912.935951751659	-0.5774039346797163	0.26021530024537265	-2.2189469033344595	0.026490337037929055	0.3370159545380974	ENSG00000171587
8144.482313458919	-0.3957749210772827	0.1831858659686344	-2.160510140804468	0.03073319942624624	0.3440780560209839	ENSG00000205581
1388.087412516576	-0.5212822585582989	0.24151359008884574	-2.158397208068227	0.030896962617178843	0.3440780560209839	ENSG00000205929
494.12347171418753	0.5509273180987353	0.25624194137848916	2.150027880427947	0.03155300950410769	0.3440780560209839	ENSG00000276612
8129.867904464283	0.38561393921067727	0.1882395522718176	2.0485277114017535	0.04050831965757005	0.4140358658294025	ENSG00000157542
1277.3940837439175	-0.533603185163998	0.26187113629957626	-2.037655591617263	0.041584388271075357	0.4140358658294025	ENSG00000160284
434.8696481487599	0.7379644828860195	0.39638460170983025	1.861738522896103	0.06263995575624982	0.5976895778408837	ENSG00000221859
3054.101529653821	-0.3768709569459392	0.20597615421977225	-1.8296824619020013	0.06729743491049311	0.616444503780117	ENSG00000142149
26597.71334758612	-0.30603765208378925	0.17113453829933875	-1.788286894773314	0.07372973311430818	0.649388803199099	ENSG00000182670
8365.671551980406	-0.3633882171628016	0.2071057614530733	-1.7546021637120863	0.0793273811099054	0.6728137138580865	ENSG00000160285
2285.1509803045246	-0.5241888910294709	0.3063761351484331	-1.7109325136421343	0.0870935716788285	0.7123009969447045	ENSG00000249624
14189.200126227712	1.5142322271227757	0.8944612730655042	1.6928985890391743	0.09047477195773923	0.7144387164938718	ENSG00000141959
4061.8583651739586	-0.26990180040643025	0.1662444814143041	-1.623523368176041	0.1044775721006438	0.7305842021351333	ENSG00000160226
5358.237468911573	-0.4254793215274703	0.26297816841255484	-1.6179264008713719	0.10567845987270558	0.7305842021351333	ENSG00000184012
151.76693830373029	0.7939431890661597	0.49757902572641194	1.59561225055073	0.11057539070955383	0.7305842021351333	ENSG00000244025
5682.224879853454	-0.26890015185751853	0.1701440363889381	-1.580426546616247	0.1140092161173964	0.7305842021351333	ENSG00000166979
8754.295183995968	-0.25743541613723864	0.1649494127953132	-1.5606931347897064	0.1185961718635729	0.7305842021351333	ENSG00000173276
4384.555500032018	-0.39147364989461586	0.2518463783940992	-1.554414450550575	0.12008558849916617	0.7305842021351333	ENSG00000156239
7780.461879963433	0.27346799519712367	0.17675247988473758	1.5471805282474986	0.12181971993922804	0.7305842021351333	ENSG00000160201
8136.612199939658	-0.237388976170478	0.1544614855149396	-1.5368813486357258	0.12432236769120099	0.7305842021351333	ENSG00000186866
294.4108344900067	-0.5447180231839378	0.3571189984435881	-1.5253123624280762	0.1271812057472944	0.7305842021351333	ENSG00000159197
3709.6712332632524	0.2739402129611953	0.17978603239573981	1.523701309333119	0.12758334224785906	0.7305842021351333	ENSG00000142188
1101.978625277407	-0.43388215394106855	0.2871027763831531	-1.511243323408447	0.13072646814423663	0.7305842021351333	ENSG00000285815
9859.246276541686	0.2762666091956373	0.1837708738082599	1.503320975030484	0.1327562938073237	0.7305842021351333	ENSG00000182871
803.4694496677412	0.3440330586061636	0.2306101465080548	1.491838341961884	0.13574152974212222	0.7305842021351333	ENSG00000183036
3351.3136961683044	-0.29332398483718375	0.1978733052486189	-1.4823828028173651	0.1382384671795893	0.7305842021351333	ENSG00000243646
